Time_Period,20
Interest_Rate,7
Farm_Pond_Vol,112500
Farm_Pond_Depth,2.5
Farm_Pond_Inf_Rate,7
Farm_Pond_Cost,80
Farm_Pond_Life_Span,10
Farm_Pond_Maintenance,5
Farm_Pond_Units,25
Farm_Pond_Lined_Vol,0
Farm_Pond_Lined_Depth,2
Farm_Pond_Lined_Inf_Rate,3
Farm_Pond_Lined_Cost,120
Farm_Pond_Lined_Life_Span,10
Farm_Pond_Lined_Maintenance,6
Farm_Pond_Lined_Width,100
Farm_Pond_Lined_Units,25
Check_Dam_Vol,160000
Check_Dam_Depth,2.5
Check_Dam_Inf_Rate,7
Check_Dam_Cost,120
Check_Dam_Life_Span,15
Check_Dam_Maintenance,3
Infiltration_Pond_Vol,0
Infiltration_Pond_Depth,1
Infiltration_Pond_Inf_Rate,50
Infiltration_Pond_Cost,85
Infiltration_Pond_Life_Span,7
Infiltration_Pond_Maintenance,4
Injection_Wells_Vol,864
Injection_Wells_Nos,40
Injection_Wells_Cost,20000
Injection_Wells_Life_Span,15
Injection_Wells_Maintenance,2
Crop_Area_1_Drip_Area,0
Crop_Area_2_Drip_Area,0
Crop_Area_3_Drip_Area,700
Eff_Drip_irrigation,90
Drip_Irr_Cost,60000
Drip_Irr_Life_Span,8
Drip_Irr_Maintenance,6
Crop_Area_1_Sprinkler_Area,500
Crop_Area_2_Sprinkler_Area,0
Crop_Area_3_Sprinkler_Area,0
Eff_Sprinkler_irrigation,80
Sprinkler_Irr_Cost,80000
Sprinkler_Irr_Life_Span,8
Sprinkler_Irr_Maintenance,6
Crop_Area_1_Land_Levelling_Area,600
Crop_Area_2_Land_Levelling_Area,300
Crop_Area_3_Land_Levelling_Area,0
Eff_Land_Levelling,15
Land_Levelling_Cost,25000
Land_Levelling_Life_Span,20
Land_Levelling_Maintenance,2
Crop_Area_1_DSR_Area,0
Crop_Area_2_DSR_Area,0
Crop_Area_3_DSR_Area,0
Eff_Direct_Seeded_Rice
Direct_Seeded_Rice_Cost
Direct_Seeded_Rice_Life_Span
Crop_Area_1_AWD_Area,0
Crop_Area_2_AWD_Area,0
Crop_Area_3_AWD_Area,0
Eff_Alternate_Wetting_And_Dry
Alternate_Wetting_And_Dry_Cost
Alternate_Wetting_And_Dry_Life_Span
Crop_Area_1_SRI_Area,0
Crop_Area_2_SRI_Area,0
Crop_Area_3_SRI_Area,0
Eff_SRI
SRI_Cost
SRI_Life_Span
Crop_Area_1_Ridge_Furrow_Area,0
Crop_Area_2_Ridge_Furrow_Area,0
Crop_Area_3_Ridge_Furrow_Area,0
Eff_Ridge_Furrow_Irrigation
Ridge_Furrow_Irrigation_Cost
Ridge_Furrow_Irrigation_Life_Span
Crop_Area_1_Deficit_Area,0
Crop_Area_2_Deficit_Area,0
Crop_Area_3_Deficit_Area,0
Eff_Deficit_Irrigation
Deficit_Irrigation_Cost
Deficit_Irrigation_Life_Span
Crop_Area_1_Cover_Crops_Area,0
Crop_Area_2_Cover_Crops_Area,0
Crop_Area_3_Cover_Crops_Area,0
Red_CN_Cover_Crops
Cover_Crops_Cost
Cover_Crops_Life_Span
Cover_Crops_Eva_Red
Crop_Area_1_Mulching_Area,0
Crop_Area_2_Mulching_Area,0
Crop_Area_3_Mulching_Area,0
Red_CN_Mulching
Mulching_Cost
Mulching_Life_Span
Mulching_Eva_Red
Crop_Area_1_BBF_Area,0
Crop_Area_2_BBF_Area,0
Crop_Area_3_BBF_Area,0
Red_CN_BBF
BBF_Cost
BBF_Life_Span
BBF_Maintenance
Eff_BBF
Crop_Area_1_Bunds_Area,0
Crop_Area_2_Bunds_Area,0
Crop_Area_3_Bunds_Area,0
Red_CN_Bund
Bund_Cost
Bund_Life_Span
Bund_Maintenance
Crop_Area_1_Tillage_Area,0
Crop_Area_2_Tillage_Area,0
Crop_Area_3_Tillage_Area,0
Red_CN_Tillage
Tillage_Cost
Tillage_Life_Span
Tillage_Eva_Red
Crop_Area_1_Tank_Area,0
Crop_Area_2_Tank_Area,0
Crop_Area_3_Tank_Area,0
Red_CN_Tank
Tank_Desilting_Life_Span
Tank_Eva_Red
Tank_Desilting_Vol
Tank_Desilting_Depth
Tank_Desilting_Cost
